,name,co_type,co_hq,No_employee,ratings,reviews,year_old
372,Endurance Techno...,Public,"Aurangabad,Maharashtra + 28 more",1k-5k Employees (India),3.8,1.1k,37 years old
373,Grasim Industrie...,Public,Nagda + 50 more,10k-50k Employees (India),4.2,5.9k,75 years old
374,Extramarks Educa...,Private,"Noida,Uttar Pradesh + 89 more",1k-5k Employees (India),3.6,1.1k,15 years old
375,BlackBuck,Private,"Bangalore,Karnataka + 176 more",1k-5k Employees (India),4.0,1.1k,7 years old
376,Future Generali ...,Private,Mumbai + 141 more,1k-5k Employees (India),4.0,1.1k,15 years old
377,Karvy Data Manag...,Private,"Hyderabad/Secunderabad,Telangana + 88 more",1k-5k Employees (India),3.5,1.1k,14 years old
378,Oberoi Group of ...,Private,"Delhi/NCR,Delhi + 31 more",1k-5k Employees (India),4.2,1.1k,88 years old
379,Hyatt Regency,Private,"New Delhi,Delhi + 38 more",1k-5k Employees (India),4.3,1.1k,42 years old
380,Kansai Nerolac P...,Public,"Mumbai,Maharashtra + 119 more",1k-5k Employees (India),3.9,1.1k,102 years old
381,Mahindra Logisti...,Public,"Mumbai,Maharashtra + 91 more",1k-5k Employees (India),4.2,1.1k,22 years old
382,AXA Business Ser...,Private,Paris + 5 more,1k-5k Employees (India),3.9,1.1k,27 years old
383,Sopra Steria,Private,"Paris,Ile-de-France + 9 more",5k-10k Employees (India),4.2,1.1k,54 years old
384,Kalpataru Power ...,Public,"Mumbai,Maharashtra + 137 more",1k-5k Employees (India),4.1,1.1k,41 years old
385,Shell,Public,"London,England + 72 more",10k-50k Employees (India),4.4,1.2k,18 years old
386,Jet Airways,Public,"Mumbai,Maharashtra + 48 more",10k-50k Employees (India),4.6,1.1k,29 years old
387,Tata Capital Fin...,Public,Mumbai + 123 more,1k-5k Employees (India),4.3,1.1k,15 years old
388,Cadila Pharmaceu...,Public,"Ahmedabad,Gujrat + 94 more",5k-10k Employees (India),3.7,1.1k,71 years old
389,Lucas-TVS,Private,"Chennai,Tamil Nadu + 46 more",5k-10k Employees (India),4.0,1.4k,61 years old
390,Bharat Petroleum,Private,"Mumbai,Maharashtra + 178 more",50k-1 Lakh Employees (India),4.1,1.1k,70 years old
391,CSS Corp,Private,"San Jose,California + 20 more",5k-10k Employees (India),3.7,1.1k,26 years old
392,Piramal Group,Private,Mumbai + 98 more,1k-5k Employees (India),4.1,1.3k,42 years old
393,Coromandel Inter...,Public,"Hyderabad/Secunderabad,Telangana + 126 more",5k-10k Employees (India),4.2,1.1k,61 years old
394,BA Continuum,Private,"Gurgaon/Gurugram,Haryana + 11 more",10k-50k Employees (India),4.4,1.1k,19 years old
395,Barclays,Private,London + 22 more,10k-50k Employees (India),4.3,2.7k,332 years old
396,Info Edge,Public,"Noida,Uttar Pradesh + 55 more",1k-5k Employees (India),3.9,1.7k,27 years old
397,JCB,Private,"Rocester,Staffordshire + 71 more",1k-5k Employees (India),4.0,1.1k,77 years old
398,Synechron,Private,"New York,New York + 13 more",5k-10k Employees (India),4.1,1.4k,21 years old
399,Power Mech Proje...,Public,"Hyderabad/Secunderabad,Telangana + 85 more",1k-5k Employees (India),3.8,1.1k,15 years old
400,Cybage,Private,"Pune,Maharashtra + 5 more",5k-10k Employees (India),4.0,1.1k,27 years old
401,Blinkit,Private,"Gurgaon,Haryana + 47 more",5k-10k Employees (India),3.8,1.1k,9 years old
402,Parle Products,Private,Mumbai + 140 more,50k-1 Lakh Employees (India),4.1,1.1k,93 years old
403,ValueLabs,Private,"Hyderabad/Secunderabad,Telangana + 11 more",5k-10k Employees (India),3.9,1.1k,25 years old
404,Bureau Veritas,Private,La Défense + 72 more,1k-5k Employees (India),4.0,1.1k,194 years old
405,Taj Hotels Resor...,"Mumbai,Maharashtra + 63 more",119 years old,,4.3,1.1k,10k-50k Employees (India)
406,MetLife,Private,New York + 26 more,1k-5k Employees (India),4.4,1.1k,14 years old
407,IDBI Bank,Public,"Mumbai,Maharashtra + 237 more",10k-50k Employees (India),3.8,1.9k,58 years old
408,Syngene Internat...,Public,"Bangalore/Bengaluru,Karnataka + 12 more",5k-10k Employees (India),3.9,1.1k,29 years old
409,Aircel,Private,"Gurgaon/Gurugram,Haryana + 113 more",5k-10k Employees (India),4.5,1.1k,23 years old
410,Narayana Health,"Bangalore/Bengaluru,Karnataka + 49 more",22 years old,,4.3,1.1k,10k-50k Employees (India)
411,Cromā,Private,"Mumbai,Maharashtra + 73 more",1k-5k Employees (India),4.4,1.1k,16 years old
412,CMS Infosystems,Private,"Mumbai,Maharashtra + 128 more",5k-10k Employees (India),3.8,1.1k,14 years old
413,Aon,Private,London + 16 more,10k-50k Employees (India),4.0,1.1k,82 years old
414,Hindustan Aerona...,Private,"Bangalore/Bengaluru,Karnataka + 34 more",10k-50k Employees (India),4.4,1k,82 years old
415,Metro,Private,"Bangalore/Bengaluru,Karnataka + 54 more",1k-5k Employees (India),4.2,1k,58 years old
416,XpressBees,Private,"Pune,Maharashtra + 165 more",1k-5k Employees (India),4.1,1k,7 years old
417,Adani Wilmar,Public,"Ahmedabad,Gujrat + 109 more",1k-5k Employees (India),4.2,1k,34 years old
418,WABCO,Public,Berne + 32 more,1k-5k Employees (India),4.0,1k,53 years old
